product_id,sku,name,packaging_type,unit_container_type
567,UL9-VB0-0X8,60/40 Methanol/ DI Water Solution - 4 x 55 Gallon Drums,Pallets_48x40,Drums
569,VUS-B85-3AR,60/40 Methanol/ DI Water Solution - 55 Gallon Drum,Pallets_48x40,Drums
573,KIQ-UUS-ZVU,60/40 Methanol/ DI Water Solution ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
575,6IH-R2Z-JSW,60/40 Methanol/ DI Water Solution ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
577,SZ2-PLT-015,75% Vinegar - 4 x 55 Gallon Drums,Pallets_48x40,Drums
579,994-DD8-EPD,75% Vinegar - 55 Gallon Drum,Pallets_48x40,Drums
581,D6U-DFH-2FD,A-A-59601E Type III - 4 x 55 Gallon Drums,Pallets_48x40,Drums
583,4R-90ZG-8I1T,A-A-59601E Type III - 55 Gallon Drum,Pallets_48x40,Drums
586,LKA-4R2-VJ0,A-A-59601E Type III - ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
587,AVU-EPK-2TD,A-A-59601E Type III - ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
592,FPA-Q4M-Y2H,Acetic Acid Glacial 99% ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
593,Z33-884-SXR,Acetic Acid Glacial 99% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
595,56S-LK9-JVN,Acetic Acid Glacial Technical - 4 x 55 Gallon Drums,Pallets_48x40,Drums
596,N25-LJV-8RG,Acetic Acid Glacial Technical - 55 Gallon Drum,Pallets_48x40,Drums
599,9SK-K3Z-3XY,Acetone ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
601,QMY-MPD-ZCJ,Acetone ACS Reagent Grade - 55 Gallon Drum,Pallets_48x40,Drums
603,R2F-LWR-ENJ,Acetone Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
605,DYYV-FYOF-DRQP,Acetone Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
608,LQ1-LGC-YVZ,Aluminum Chloralhydrate 50% NSF Grade - 55 Gallon Drum,Pallets_48x40,Drums
609,XKH-3DM-NBX,Aluminum Chlorohydrate 50% Solution - 55 Gallon Drum,Pallets_48x40,Drums
611,EWW-B92-DYV,Aluminum Sulfate 50% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
612,UIO-WOV-GIL,Aluminum Sulfate 50% Solution - 55 Gallon Drum,Pallets_48x40,Drums
613,ZG-IW2E-NDFR,Ammonium Hydroxide 29% Acs Grade  - 55 Gallon Drum,Pallets_48x40,Drums
616,FQX-B0Q-EX5,Ammonium Hydroxide 29% Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
618,FX4-2SG-A1M,Ammonium Hydroxide 29% Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
619,KAS-UQG-73Z,Ammonium Sulfate 10% - 55 Gallon Drum,Pallets_48x40,Drums
620,AE9-TDY-HJP,Amyl Acetate - 4 x 55 Gallon Drums,Pallets_48x40,Drums
622,H1Q-W24-CTW,Amyl Acetate ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
627,YC7-G9X-B92,Arctic Assist - 4 x 55 Gallon Drums,Pallets_48x40,Drums
629,JOK-UTU-HRC,Arctic Assist - 55 Gallon Drum - Dyed Inhibited Propylene Glycol,Pallets_48x40,Drums
630,86M-XZV-MTE,Arctic Assist 60% - 55 Gallon Drum,Pallets_48x40,Drums
631,K95-H8C-SPW,Battery Water - 4 x 55 Gallon Drums,Pallets_48x40,Drums
633,UNFN-MZPY-PVWF,BLEND SAN 21 - 55 Gallon Drum,Pallets_48x40,Drums
635,VS8-JUX-CE3,Blendpro - 55 Gallon Drum,Pallets_48x40,Drums
636,V2J-7KN-5N8,Chevron Capella P68 - 55 Gallon Drum,Pallets_48x40,Drums
637,41S-ABM-T1B,Chevron Superla White Oil NO. 9 - 55 Gallon Drum,Pallets_48x40,Drums
639,W65-Z86-2L9,CIMCOOL Undyed Synthetic Lubricant 2015 - 55 Gallon Drum,Pallets_48x40,Drums
640,CMK-A88-9BN,Cimtech Gallon 2015 (UNDYED) - 55 Gallon Drum,Pallets_48x40,Drums
641,V50-U6K-YZG-1,Citric Acid 25% Solution - 55 Gallon Drum,Pallets_48x40,Drums
642,WD2-QPX-HMA,Citric Acid 50% - 55 Gallon Drum,Pallets_48x40,Drums
643,  WD2-QPX-HMA,Citric Acid 50% - 55 GL Drum,Pallets_48x40,Drums
644,V50-U6K-YZG,Citric Acid 50% Solution - 55 Gallon Drum,Pallets_48x40,Drums
646,MKC-2FS-L23,COOL LUBE 926 - 55 GALLON DRUM,Pallets_48x40,Drums
648,DCH-UBW-C7U,Cyclohexanone - 4 x 55 Gallon Drums,Pallets_48x40,Drums
650,8H-5HZS-ZE3Y,Cyclohexanone - 55 Gallon Drum,Pallets_48x40,Drums
652,BLK-4DB-0L7,Cyclohexanone Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
654,E5C-87H-LJG,Cyclohexanone Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
656,65X-A2Y-9R2,Deionized Water - 4 x 55 Gallon Drums,Pallets_48x40,Drums
658,ZG-5WH8-SCOA,Deionized Water - 55 Gallon Drum,Pallets_48x40,Drums
660,XQW-UKP-EKB,Denatured Alcohol 190 Proof 3A - 4 x 55 Gallon Drums (4 Drums),Pallets_48x40,Drums
662,1Z-GL3I-LIW2,Denatured Alcohol 190 Proof 3A - 55 Gallon Drum,Pallets_48x40,Drums
664,XDD-R4X-LV9,Denatured Alcohol 190 Proof 3C - 4 x 55 Gallon Drums,Pallets_48x40,Drums
665,MC-MMGL-RIL2,Denatured Alcohol 190 Proof 3C - 55 Gallon Drum,Pallets_48x40,Drums
666,375-BN7-NSQ,Denatured Alcohol 200 Proof 3A - 4 x 55 Gallon Drums (4 Drums),Pallets_48x40,Drums
668,JK-9BVP-96M8,Denatured Alcohol 200 Proof 3A - 55 Gallon Drum,Pallets_48x40,Drums
669,L3P-R4E-SQP,Denatured Alcohol 200 Proof 3C - 4 x 55 Gallon Drums (4 Drums),Pallets_48x40,Drums
671,KX-ZLYJ-FP49,Denatured Alcohol 200 Proof 3C - 55 Gallon Drum,Pallets_48x40,Drums
