classification_id,description,mode,stackable,nmfc,freight_class,hazardous,hazard,said_to_contain,non_standard
241," Lubricating Oil, NOI, in drums",ltl,f,145000-2,65,f,,0,f
242," Lubricating Oil, NOI, in metal cans in crates",ltl,f,145000-1,85,f,,0,f
243,ACETONE (FLAMMABLE LIQUID),ltl,f,44500-2,92.5,f,,1,f
244,"AMMONIUM HYDROXIDE 29% ACS, REAGENT GRADE",ltl,f,45615-5,70,f,,1,f
245,"Adhesives, NOI, other than combustible, density 20 pcf or greater",ltl,f,4620-6,60,f,,0,f
246,"Ammonia solution, relative density between 0.880 and 0.957 at 15 degrees C in water, with more than 10 percent but not more than 35 percent ammonia, 8, PGIII",ltl,f,44155-03,70,f,,,f
247,"BATTERY WATER, NON-DOT REGULATED",ltl,f,59380-1,55,f,,180,f
248,Battery Fluid Acid,ltl,f,44155-2,85,f,,8,f
249,"Battery Fluid Acid, (Sulfuric Acid)",ltl,f,44155-2,85,f,,100,f
250,"Boric Acid in inner containers in boxes, or bags, or drums",ltl,f,43540-2,70,f,,0,f
251,"Bottles, Carboys or Jars, NOI, density 6 but less than 8 pcf",ltl,f,87700-5,125,f,,,f
252,"Bottles, Carboys or Jars, empty, NOI, other than cut, density 15 but less than 22.5 pcf",ltl,f,87700-9,70,f,,0,f
253,"Bottles, in cardboard pkging, density 12 but less than 15 pcf",ltl,f,87700-8,85,f,,,f
254,"Boxes, cartons, empty, NOI, density 1 but less than 2 pcf",ltl,f,29785-2,300,f,,0,f
255,"Boxes, cartons, empty, NOI, density 10 but less than 12 pcf",ltl,f,29785-7,92.5,f,,0,f
256,"Boxes, cartons, empty, NOI, density 10 but less than 12 pcf",ltl,f,29785-7,85,f,,1,f
257,"Boxes, cartons, empty, NOI, density 12 but less than 15 pcf",ltl,f,29785-8,85,f,,0,f
258,"Boxes, cartons, empty, NOI, density 15 but less than 22.5 pcf",ltl,f,29785-9,70,f,,0,f
