description,hazardous,hazardId,packingGroup
"lubricating oil, noi, in drums",FALSE,,
"lubricating oil, noi, in metal cans in crates",FALSE,,
acetone (flammable liquid),TRUE,UN1090,2
"ammonium hydroxide 29% acs, reagent grade",TRUE,UN2672,3
"adhesives, noi, other than combustible, density 20 pcf or greater",FALSE,,
"ammonia solution, relative density between 0.880 and 0.957 at 15 degrees c in water, with more than 10 percent but not more than 35 percent ammonia, 8, pgiii",TRUE,UN2672,3
"battery water, non-dot regulated",FALSE,,
battery fluid acid,TRUE,UN2796,2
"battery fluid acid, (sulfuric acid)",TRUE,UN2796,2
"boric acid in inner containers in boxes, or bags, or drums",FALSE,,
"bottles, carboys or jars, noi, density 6 but less than 8 pcf",FALSE,,
"bottles, carboys or jars, empty, noi, other than cut, density 15 but less than 22.5 pcf",FALSE,,
"bottles, in cardboard pkging, density 12 but less than 15 pcf",FALSE,,
"boxes, cartons, empty, noi, density 1 but less than 2 pcf",FALSE,,
"boxes, cartons, empty, noi, density 10 but less than 12 pcf",FALSE,,
"boxes, cartons, empty, noi, density 10 but less than 12 pcf",FALSE,,
"boxes, cartons, empty, noi, density 10 but less than 12 pcf",FALSE,,
"boxes, cartons, empty, noi, density 10 but less than 12 pcf",FALSE,,
"boxes, cartons, empty, noi, density 12 but less than 15 pcf",FALSE,,
"boxes, cartons, empty, noi, density 15 but less than 22.5 pcf",FALSE,,
"boxes, cartons, empty, noi, density 2 but less than 4 pcf",FALSE,,
"boxes, cartons, empty, noi, density 22.5 but less than 30 pcf",FALSE,,
"boxes, cartons, empty, noi, density 30 pcf or greater",FALSE,,
"boxes, cartons, empty, noi, density 4 but less than 5 pcf",FALSE,,
"boxes, cartons, empty, noi, density 6 but less than 8 pcf",FALSE,,
"boxes, cartons, empty, noi, density 8 but less than 10 pcf",FALSE,,
"boxes, cartons, empty, noi, density less than 1 pcf",FALSE,,
"cadmium compounds, n.o.s.,",TRUE,UN2570,1
"calcium chloride, other than liquid, in bags",FALSE,,
"carbonate, monohydrate, in bags, or in bulin in boxes or drums",FALSE,,
chromium trioxide technical grade,TRUE,UN1463,2
"chromium trioxide, anhydrous",TRUE,UN1463,2
"citric acid monohydrate, in inner containers in boxes or drums",FALSE,,
"corrosive (non-combustible), ammonium hydroxide 29% acs, reagent grade",TRUE,UN2672,3
"corrosive (non-combustible), ammonium hydroxide 29% technical grade",TRUE,UN2672,3
"corrosive material, noi, hydrochloric acid",TRUE,UN1789,2
"corrosive material, noi, hydrochloric acid 15 gallon",TRUE,UN1789,2
