product_id,sku,name,packaging_type,unit_container_type
544,WXV-AC4-WCU,10% Vinegar - 275 Gallon Tote,Totes,Totes
545,TRZ-9YS-5W6,10% Vinegar - 4 x 55 Gallon Drums,Pallets_48x40,Drums
546,YUZ-MAK-6ZS,10% Vinegar - 55 Gallon Drum,Pallets_48x40,Drums
547,ST4-K81-485,100% Ethylene Glycol Inhibited - 55 Gallon Drum,Pallets_48x40,Drums
548,1T0-A7H-Q9X,100% Propylene Glycol Inhibited - 275 Gallon Tote,Totes,Totes
549,US3-WH3-18P,100% Propylene Glycol Inhibited - 55 Gallon Drum,Pallets_48x40,Drums
550,WND-M5C-2G9,100% Pure Castor Oil - 275 Gallon Tote,Totes,Totes
551,VGR-ENC-DD6,100% Pure Castor Oil - 5 Gallon Pail,Pallets_48x40,Pails
552,2V9-37C-05G,100% Pure Castor Oil - 55 Gallon Drum,Pallets_48x40,Drums
553,79K-0BD-314,100% Pure Castor Oil ACS Grade - 275 Gallon Tote,Totes,Totes
554,GPT-2RA-FKX,100% Pure Castor Oil ACS Grade - 36 x 5 Gallon Pails on Pallet,Pallets_48x40,Pails
555,RIV-2IM-ABH,100% Pure Castor Oil ACS Grade - 4 x 5 Gallon Pails,Pallets_48x40,Pails
556,DZB-LEH-GYQ,100% Pure Castor Oil ACS Grade - 5 Gallon Pail,Pallets_48x40,Pails
557,B80-Z5W-3CT,100% Pure Castor Oil ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
558,KZC-JVK-2ZK,100% Pure Castor Oil ACS Grade 4 X 55 Gallon Drums,Pallets_48x40,Drums
559,4KP-D5A-KFU,30% Vinegar - 275 Gallon Tote,Totes,Totes
560,369-X5P-84G,30% Vinegar - Concentrated Industrial Strength - 4 x 55 Gallon Drums,Pallets_48x40,Drums
561,8M-GZ8A-4AFC,5 Gallon Poly Pail Container with Cap,Pallets_48x40,Pails
562,1L-1PSK-A9S8,50% Vinegar - 275 Gallon Tote,Totes,Totes
