classification_id,description,mode,package,declared_value,weight,height,length,width,stackable,pieces,nmfc_x,freight_class,hazardous,hazard,said_to_contain,said_to_contain_packaging_type,non_standard,class,nmfc_y,HZMT,HZMT_id,HZMT_PACKING_GROUP_LKID,HZMT_HAZARD_CLASS_LKID,HZMT_CHR_ID
241,"lubricating oil, noi, in drums",ltl,,,,,,,f,,145000-2,65.0,f,,0,,f,65.0,145000-2,0.0,,,,
242,"lubricating oil, noi, in metal cans in crates",ltl,,,,,,,f,,145000-1,85.0,f,,0,,f,85.0,145000-1,0.0,,,,
243,acetone (flammable liquid),ltl,,,,,,,f,,44500-2,92.5,f,,1,,f,92.5,44500-2,1.0,UN1090,2.0,10.0,10811.0
244,"ammonium hydroxide 29% acs, reagent grade",ltl,,,,,,,f,,45615-5,70.0,f,,1,,f,70.0,45615-5,1.0,UN2672,3.0,19.0,10911.0
245,"adhesives, noi, other than combustible, density 20 pcf or greater",ltl,,,,,,,f,,4620-6,60.0,f,,0,,f,60.0,4620-6,0.0,,,,
246,"ammonia solution, relative density between 0.880 and 0.957 at 15 degrees c in water, with more than 10 percent but not more than 35 percent ammonia, 8, pgiii",ltl,,,,,,,f,,44155-03,70.0,f,,,,f,70.0,44155-03,1.0,UN2672,3.0,19.0,10911.0
247,"battery water, non-dot regulated",ltl,,,,,,,f,,59380-1,55.0,f,,180,,f,55.0,59380-1,0.0,,,,
248,battery fluid acid,ltl,,,,,,,f,,44155-2,85.0,f,,8,,f,85.0,44155-2,1.0,UN2796,2.0,19.0,
249,"battery fluid acid, (sulfuric acid)",ltl,,,,,,,f,,44155-2,85.0,f,,100,,f,85.0,44155-2,1.0,UN2796,2.0,19.0,13085.0
250,"boric acid in inner containers in boxes, or bags, or drums",ltl,,,,,,,f,,43540-2,70.0,f,,0,,f,70.0,43540-2,0.0,,,,
251,"bottles, carboys or jars, noi, density 6 but less than 8 pcf",ltl,,,,,,,f,,87700-5,125.0,f,,,,f,125.0,87700-5,0.0,,,,
252,"bottles, carboys or jars, empty, noi, other than cut, density 15 but less than 22.5 pcf",ltl,,,,,,,f,,87700-9,70.0,f,,0,,f,70.0,87700-9,0.0,,,,
253,"bottles, in cardboard pkging, density 12 but less than 15 pcf",ltl,,,,,,,f,,87700-8,85.0,f,,,,f,85.0,87700-8,0.0,,,,
254,"boxes, cartons, empty, noi, density 1 but less than 2 pcf",ltl,,,,,,,f,,29785-2,300.0,f,,0,,f,300.0,29785-2,0.0,,,,
255,"boxes, cartons, empty, noi, density 10 but less than 12 pcf",ltl,,,,,,,f,,29785-7,92.5,f,,0,,f,92.5,29785-7,0.0,,,,
255,"boxes, cartons, empty, noi, density 10 but less than 12 pcf",ltl,,,,,,,f,,29785-7,92.5,f,,0,,f,85.0,29785-7,0.0,,,,
256,"boxes, cartons, empty, noi, density 10 but less than 12 pcf",ltl,,,,,,,f,,29785-7,85.0,f,,1,,f,92.5,29785-7,0.0,,,,
256,"boxes, cartons, empty, noi, density 10 but less than 12 pcf",ltl,,,,,,,f,,29785-7,85.0,f,,1,,f,85.0,29785-7,0.0,,,,
257,"boxes, cartons, empty, noi, density 12 but less than 15 pcf",ltl,,,,,,,f,,29785-8,85.0,f,,0,,f,85.0,29785-8,0.0,,,,
258,"boxes, cartons, empty, noi, density 15 but less than 22.5 pcf",ltl,,,,,,,f,,29785-9,70.0,f,,0,,f,70.0,29785-9,0.0,,,,
259,"boxes, cartons, empty, noi, density 2 but less than 4 pcf",ltl,,,,,,,f,,29785-3,250.0,f,,0,,f,250.0,29785-3,0.0,,,,
260,"boxes, cartons, empty, noi, density 22.5 but less than 30 pcf",ltl,,,,,,,f,,29785-10,65.0,f,,0,,f,65.0,29785-10,0.0,,,,
261,"boxes, cartons, empty, noi, density 30 pcf or greater",ltl,,,,,,,f,,29785-11,60.0,f,,0,,f,60.0,29785-11,0.0,,,,
